Year,Variable_original,Variable_standardized,Description,Coding,Missing/Unknown,Role_in_project,Available_pre_decision,MFMU_component,Harmonisation_notes,Source_guide,Key_harmonisation_change,MHISPX_change,MRACEHISP_change,California_2019_Hispanic_reporting,MBRACE_change,Position,Length,Publication_harmonisation_note,Primary_analysis_action
2016,PAY_REC,payment_recode,Payment source recode,1 Medicaid; 2 private insurance; 3 self-pay; 4 other; 9 unknown,9,Equity / candidate predictor,Yes,No,Useful socioeconomic/healthcare-access stratum,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,436,1,,
2016,WIC,wic,WIC participation,Y yes; N no; U unknown,U/blank,Candidate predictor / equity,Yes,No,Potential socioeconomic marker; check reporting flags,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,251,1,,
2016,PRIORLIVE,prior_live_births_living,Prior births now living,00-30,99,Candidate predictor / prior vaginal-history proxy,Yes,Partial,Cannot determine delivery route or ordering of previous births,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,171-172,2,,
2016,PRIORDEAD,prior_live_births_dead,Prior births now dead,00-30,99,Candidate predictor / prior obstetric history,Yes,Partial,Combine with PRIORLIVE to estimate total prior live births,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,173-174,2,,
2016,LBO_REC,live_birth_order,Live birth order recode,1-7; 8=8+; 9 unknown,9,Candidate predictor,Yes,Partial,Current birth order = prior live births + 1 conceptually,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,179,1,,
2016,RF_PPTERM,previous_preterm_birth,Previous preterm birth,Y/N/U,U/blank,Candidate predictor,Yes,No,Medical history variable,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,318,1,,
2016,RF_CESAR,previous_cesarean,Previous cesarean,Y/N/U,U/blank,Core cohort,Yes,No,Use with number of previous cesareans,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,331,1,,
2016,RF_CESARN,n_previous_cesareans,Number of previous cesareans,00 none; 01-30 count; 99 unknown,99/blank,Core cohort,Yes,No,Primary cohort can restrict to exactly 1 prior cesarean,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,332-333,2,,
2016,M_Ht_In,maternal_height_in,Mother's height in total inches,30-78 inches,99/blank,Predictor / MFMU,Yes,Yes - convert inches to cm,Use raw continuous height,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,280-281,2,,
2016,BMI,prepregnancy_bmi,Body mass index,13.0-69.9,99.9/blank,Predictor / subgroup,Yes,No direct MFMU term,Derived from prepregnancy height/weight; useful subgroup,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,283-286,4,,
2016,BMI_R,prepregnancy_bmi_cat,BMI recode,1 underweight; 2 normal; 3 overweight; 4 obesity I; 5 obesity II; 6 obesity III; 9 unknown,9,Equity/clinical subgroup,Yes,No,Note guide typo in obesity-I range; use standard BMI cut points,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,287,1,,
2016,PWgt_R,prepregnancy_weight_lb,Pre-pregnancy weight recode,075-375 lb,999/blank,Predictor / MFMU,Yes,Yes - convert lb to kg,Published MFMU uses kg,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,292-294,3,,
2016,WTGAIN,pregnancy_weight_gain_lb,Weight gain during pregnancy,00-97; 98=98+,99/blank,Candidate predictor,Yes,No,Potential leakage/timing concern if intended prediction is early antenatal,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,304-305,2,,
2016,RF_PDIAB,prepregnancy_diabetes,Pre-pregnancy diabetes,Y/N/U,U/blank,Candidate predictor / subgroup,Yes,No,Available before delivery,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,313,1,,
2016,RF_GDIAB,gestational_diabetes,Gestational diabetes,Y/N/U,U/blank,Candidate predictor / subgroup,Yes,No,Available by late pregnancy; prediction timepoint must be defined,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,314,1,,
2016,RF_PHYPE,prepregnancy_hypertension,Pre-pregnancy hypertension,Y/N/U,U/blank,Predictor / MFMU proxy / subgroup,Yes,Partial,MFMU requires chronic hypertension requiring treatment; Natality does not indicate treatment,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,315,1,,
2016,RF_GHYPE,gestational_hypertension,Gestational hypertension,Y/N/U,U/blank,Candidate predictor / subgroup,Yes,No,Available by pregnancy course; define prediction timepoint,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,316,1,,
2016,RF_EHYPE,eclampsia,Eclampsia,Y/N/U,U/blank,Candidate predictor / QC,Yes,No,National completeness improves beginning 2022; use reporting flags for earlier years; use F_RF_ECLAMP reporting flag because not all jurisdictions reported eclampsia.,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,317,1,,
2016,CIG_0,cigarettes_pre_pregnancy,Cigarettes before pregnancy,00-97; 98=98+; 99 unknown,99/blank,Candidate predictor,Yes,No,Prefer pre-pregnancy smoking for baseline prediction,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,253-254,2,,
2016,CIG_1,cigarettes_trimester1,Cigarettes 1st trimester,00-97; 98=98+; 99 unknown,99/blank,Candidate predictor,Yes,No,Timing-compatible if prediction occurs after first trimester,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,255-256,2,,
2016,PRECARE,prenatal_care_start_month,Month prenatal care began,00 no care; 01-10 month; 99 unknown,99/blank,Candidate predictor / equity,Yes,No,Healthcare-access/utilization marker,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,224-225,2,,
2016,PREVIS,prenatal_visits,Number of prenatal visits,00-98 visits; 99 unknown,99/blank,Candidate predictor,Yes,No,May be partly post-baseline; use only if prediction timepoint permits,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,238-239,2,,
2016,DPLURAL,plurality,Plurality recode,1 single; 2 twin; 3 triplet; 4 quadruplet; 5 quintuplet+,imputed if unknown,Core eligibility,Yes,No,Primary cohort: singleton only,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,454,1,,
2016,ME_PRES,fetal_presentation,Fetal presentation at delivery,1 cephalic; 2 breech; 3 other; 9 unknown,9/blank,Core eligibility / candidate predictor,Yes,No,Primary MFMU-compatible cohort likely cephalic,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,401,1,,
2016,OEGest_Comb,obstetric_gest_age_wk,Obstetric estimate of gestation,17-47 weeks,99/blank,Core eligibility / candidate predictor,Yes,No,Prefer obstetric estimate for gestational age,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,499-500,2,,
2016,OEGest_R3,term_recode,Obstetric estimate recode 3,1 <37 weeks; 2 >=37 weeks; 3 not stated,3,Core eligibility,Yes,No,Useful for term restriction,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,503,1,,
2016,LD_INDL,induction_labor,Induction of labor,Y/N/U,U/blank,Candidate predictor (timing-sensitive),Yes,No,Can be available at labor onset but not early counselling,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,383,1,,
2016,LD_AUGM,augmentation_labor,Augmentation of labor,Y/N/U,U/blank,Do not use in baseline model,Yes,No,Likely post-decision / leakage depending prediction target,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,384,1,,
2016,ME_ROUT,delivery_route,Final route and method of delivery,1 spontaneous; 2 forceps; 3 vacuum; 4 cesarean; 9 unknown,9/blank,Outcome construction,Yes,No,Outcome-defining; never use as predictor,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,402,1,,
2016,ME_TRIAL,trial_of_labor_if_cesarean,Trial of labor attempted (if cesarean),Y yes; N no; X not applicable; U unknown,U/X/blank,Core cohort,Yes,No,Applies when final route is cesarean; do NOT use ME_TRIAL=Y alone to find all TOLAC,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,403,1,,
2016,RDMETH_REC,delivery_method_recode,Delivery method recode,1 vaginal excl VBAC; 2 vaginal after previous CS; 3 primary CS; 4 repeat CS; 5 vaginal unknown prior CS; 6 CS unknown prior CS; 9 not stated,9/blank,Core cohort / outcome,Yes,No,Key variable for successful VBAC identification,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,407,1,,
2016,DMETH_REC,delivery_binary_recode,Delivery method recode (vaginal vs cesarean),1 vaginal; 2 C-section; 9 unknown,9/blank,Outcome QC,Yes,No,Less specific than RDMETH_REC,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,408,1,,
2017,DOB_YY,birth_year,Birth year,year,,Cohort/time split,Yes,No,Use for temporal development/validation split,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,9-12,4,,
2017,DOB_MM,birth_month,Birth month,01-12,,Candidate predictor/QC,Yes,No,Potential seasonal/time marker; use only if clinically justified,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,13-14,2,,
2017,MAGER,maternal_age,Mother's single years of age,12-50 (50=50+),No explicit unknown code in recode; age may be imputed,Predictor / MFMU,Yes,Yes - exact concept,Use continuous age; flag imputation separately if desired,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,75-76,2,,
2017,MAGE_IMPFLG,maternal_age_imputed,Mother's age imputed flag,blank=not imputed; 1=imputed,blank,QC,Yes,No,Optional data-quality flag,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,73,1,,
2017,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor",CDC/NCHS Natality User Guide 2017,False,False,False,False,False,107,1-2 depending year formatting,,
2017,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2017,True,False,True,False,False,117,1,,
2017,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2017,True,True,False,False,False,115,1,,
2017,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,Not in public-use layout,,Secondary equity subgroup,No,No,Detailed Dominican category introduced in 2018; use MHISP_R/MRACEHISP for 2016-2017 harmonisation.,CDC/NCHS Natality User Guide 2017,True,True,True,False,False,112,1,,
2017,MEDUC,maternal_education,Mother's education,1 <=8th; 2 9-12 no diploma; 3 HS/GED; 4 some college; 5 associate; 6 bachelor; 7 master; 8 doctorate/professional; 9 unknown,9,Equity / candidate predictor,Yes,No,Socioeconomic proxy; evaluate missingness,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,124,1,,
2017,DMAR,marital_status,Marital status,1 married; 2 unmarried (US coding),varies for territories,Candidate predictor / equity,Yes,No,"If US-only analysis, use US coding",CDC/NCHS Natality User Guide 2017,False,False,False,False,False,120,1,,
2017,PAY_REC,payment_recode,Payment source recode,1 Medicaid; 2 private insurance; 3 self-pay; 4 other; 9 unknown,9,Equity / candidate predictor,Yes,No,Useful socioeconomic/healthcare-access stratum,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,436,1,,
2017,WIC,wic,WIC participation,Y yes; N no; U unknown,U/blank,Candidate predictor / equity,Yes,No,Potential socioeconomic marker; check reporting flags,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,251,1,,
2017,PRIORLIVE,prior_live_births_living,Prior births now living,00-30,99,Candidate predictor / prior vaginal-history proxy,Yes,Partial,Cannot determine delivery route or ordering of previous births,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,171-172,2,,
2017,PRIORDEAD,prior_live_births_dead,Prior births now dead,00-30,99,Candidate predictor / prior obstetric history,Yes,Partial,Combine with PRIORLIVE to estimate total prior live births,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,173-174,2,,
2017,LBO_REC,live_birth_order,Live birth order recode,1-7; 8=8+; 9 unknown,9,Candidate predictor,Yes,Partial,Current birth order = prior live births + 1 conceptually,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,179,1,,
2017,RF_PPTERM,previous_preterm_birth,Previous preterm birth,Y/N/U,U/blank,Candidate predictor,Yes,No,Medical history variable,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,318,1,,
2017,RF_CESAR,previous_cesarean,Previous cesarean,Y/N/U,U/blank,Core cohort,Yes,No,Use with number of previous cesareans,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,331,1,,
2017,RF_CESARN,n_previous_cesareans,Number of previous cesareans,00 none; 01-30 count; 99 unknown,99/blank,Core cohort,Yes,No,Primary cohort can restrict to exactly 1 prior cesarean,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,332-333,2,,
2017,M_Ht_In,maternal_height_in,Mother's height in total inches,30-78 inches,99/blank,Predictor / MFMU,Yes,Yes - convert inches to cm,Use raw continuous height,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,280-281,2,,
2017,BMI,prepregnancy_bmi,Body mass index,13.0-69.9,99.9/blank,Predictor / subgroup,Yes,No direct MFMU term,Derived from prepregnancy height/weight; useful subgroup,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,283-286,4,,
2017,BMI_R,prepregnancy_bmi_cat,BMI recode,1 underweight; 2 normal; 3 overweight; 4 obesity I; 5 obesity II; 6 obesity III; 9 unknown,9,Equity/clinical subgroup,Yes,No,Note guide typo in obesity-I range; use standard BMI cut points,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,287,1,,
2017,PWgt_R,prepregnancy_weight_lb,Pre-pregnancy weight recode,075-375 lb,999/blank,Predictor / MFMU,Yes,Yes - convert lb to kg,Published MFMU uses kg,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,292-294,3,,
2017,WTGAIN,pregnancy_weight_gain_lb,Weight gain during pregnancy,00-97; 98=98+,99/blank,Candidate predictor,Yes,No,Potential leakage/timing concern if intended prediction is early antenatal,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,304-305,2,,
2017,RF_PDIAB,prepregnancy_diabetes,Pre-pregnancy diabetes,Y/N/U,U/blank,Candidate predictor / subgroup,Yes,No,Available before delivery,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,313,1,,
2017,RF_GDIAB,gestational_diabetes,Gestational diabetes,Y/N/U,U/blank,Candidate predictor / subgroup,Yes,No,Available by late pregnancy; prediction timepoint must be defined,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,314,1,,
2017,RF_PHYPE,prepregnancy_hypertension,Pre-pregnancy hypertension,Y/N/U,U/blank,Predictor / MFMU proxy / subgroup,Yes,Partial,MFMU requires chronic hypertension requiring treatment; Natality does not indicate treatment,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,315,1,,
2017,RF_GHYPE,gestational_hypertension,Gestational hypertension,Y/N/U,U/blank,Candidate predictor / subgroup,Yes,No,Available by pregnancy course; define prediction timepoint,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,316,1,,
2017,RF_EHYPE,eclampsia,Eclampsia,Y/N/U,U/blank,Candidate predictor / QC,Yes,No,National completeness improves beginning 2022; use reporting flags for earlier years; use F_RF_ECLAMP reporting flag because not all jurisdictions reported eclampsia.,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,317,1,,
2017,CIG_0,cigarettes_pre_pregnancy,Cigarettes before pregnancy,00-97; 98=98+; 99 unknown,99/blank,Candidate predictor,Yes,No,Prefer pre-pregnancy smoking for baseline prediction,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,253-254,2,,
2017,CIG_1,cigarettes_trimester1,Cigarettes 1st trimester,00-97; 98=98+; 99 unknown,99/blank,Candidate predictor,Yes,No,Timing-compatible if prediction occurs after first trimester,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,255-256,2,,
2017,PRECARE,prenatal_care_start_month,Month prenatal care began,00 no care; 01-10 month; 99 unknown,99/blank,Candidate predictor / equity,Yes,No,Healthcare-access/utilization marker,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,224-225,2,,
2017,PREVIS,prenatal_visits,Number of prenatal visits,00-98 visits; 99 unknown,99/blank,Candidate predictor,Yes,No,May be partly post-baseline; use only if prediction timepoint permits,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,238-239,2,,
2017,DPLURAL,plurality,Plurality recode,1 single; 2 twin; 3 triplet; 4 quadruplet; 5 quintuplet+,imputed if unknown,Core eligibility,Yes,No,Primary cohort: singleton only,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,454,1,,
2017,ME_PRES,fetal_presentation,Fetal presentation at delivery,1 cephalic; 2 breech; 3 other; 9 unknown,9/blank,Core eligibility / candidate predictor,Yes,No,Primary MFMU-compatible cohort likely cephalic,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,401,1,,
2017,OEGest_Comb,obstetric_gest_age_wk,Obstetric estimate of gestation,17-47 weeks,99/blank,Core eligibility / candidate predictor,Yes,No,Prefer obstetric estimate for gestational age,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,499-500,2,,
2017,OEGest_R3,term_recode,Obstetric estimate recode 3,1 <37 weeks; 2 >=37 weeks; 3 not stated,3,Core eligibility,Yes,No,Useful for term restriction,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,503,1,,
2017,LD_INDL,induction_labor,Induction of labor,Y/N/U,U/blank,Candidate predictor (timing-sensitive),Yes,No,Can be available at labor onset but not early counselling,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,383,1,,
2017,LD_AUGM,augmentation_labor,Augmentation of labor,Y/N/U,U/blank,Do not use in baseline model,Yes,No,Likely post-decision / leakage depending prediction target,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,384,1,,
2017,ME_ROUT,delivery_route,Final route and method of delivery,1 spontaneous; 2 forceps; 3 vacuum; 4 cesarean; 9 unknown,9/blank,Outcome construction,Yes,No,Outcome-defining; never use as predictor,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,402,1,,
2017,ME_TRIAL,trial_of_labor_if_cesarean,Trial of labor attempted (if cesarean),Y yes; N no; X not applicable; U unknown,U/X/blank,Core cohort,Yes,No,Applies when final route is cesarean; do NOT use ME_TRIAL=Y alone to find all TOLAC,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,403,1,,
2017,RDMETH_REC,delivery_method_recode,Delivery method recode,1 vaginal excl VBAC; 2 vaginal after previous CS; 3 primary CS; 4 repeat CS; 5 vaginal unknown prior CS; 6 CS unknown prior CS; 9 not stated,9/blank,Core cohort / outcome,Yes,No,Key variable for successful VBAC identification,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,407,1,,
2017,DMETH_REC,delivery_binary_recode,Delivery method recode (vaginal vs cesarean),1 vaginal; 2 C-section; 9 unknown,9/blank,Outcome QC,Yes,No,Less specific than RDMETH_REC,CDC/NCHS Natality User Guide 2017,False,False,False,False,False,408,1,,
2018,DOB_YY,birth_year,Birth year,year,,Cohort/time split,Yes,No,Use for temporal development/validation split,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,9-12,4,,
2018,DOB_MM,birth_month,Birth month,01-12,,Candidate predictor/QC,Yes,No,Potential seasonal/time marker; use only if clinically justified,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,13-14,2,,
2018,MAGER,maternal_age,Mother's single years of age,12-50 (50=50+),No explicit unknown code in recode; age may be imputed,Predictor / MFMU,Yes,Yes - exact concept,Use continuous age; flag imputation separately if desired,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,75-76,2,,
2018,MAGE_IMPFLG,maternal_age_imputed,Mother's age imputed flag,blank=not imputed; 1=imputed,blank,QC,Yes,No,Optional data-quality flag,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,73,1,,
2018,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor",CDC/NCHS Natality User Guide 2018,False,False,False,False,False,107,1-2 depending year formatting,,
2018,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2018,True,False,True,False,False,117,1,,
2018,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2018,True,True,False,False,False,115,1,,
2018,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,Not present in 2016-2017 public-use layout; definition changes noted for 2023,CDC/NCHS Natality User Guide 2018,True,True,False,False,False,112,1,Detailed Hispanic-origin coding including a separate Dominican category became available from 2018; it is not consistently available for 2016-2017.,Use broad MRACEHISP for the primary 2016-2024 race/ethnicity grouping; reserve MHISPX for secondary detailed-origin analyses from 2018 onward.
2018,MEDUC,maternal_education,Mother's education,1 <=8th; 2 9-12 no diploma; 3 HS/GED; 4 some college; 5 associate; 6 bachelor; 7 master; 8 doctorate/professional; 9 unknown,9,Equity / candidate predictor,Yes,No,Socioeconomic proxy; evaluate missingness,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,124,1,,
2018,DMAR,marital_status,Marital status,1 married; 2 unmarried (US coding),varies for territories,Candidate predictor / equity,Yes,No,"If US-only analysis, use US coding",CDC/NCHS Natality User Guide 2018,False,False,False,False,False,120,1,,
2018,PAY_REC,payment_recode,Payment source recode,1 Medicaid; 2 private insurance; 3 self-pay; 4 other; 9 unknown,9,Equity / candidate predictor,Yes,No,Useful socioeconomic/healthcare-access stratum,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,436,1,,
2018,WIC,wic,WIC participation,Y yes; N no; U unknown,U/blank,Candidate predictor / equity,Yes,No,Potential socioeconomic marker; check reporting flags,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,251,1,,
2018,PRIORLIVE,prior_live_births_living,Prior births now living,00-30,99,Candidate predictor / prior vaginal-history proxy,Yes,Partial,Cannot determine delivery route or ordering of previous births,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,171-172,2,,
2018,PRIORDEAD,prior_live_births_dead,Prior births now dead,00-30,99,Candidate predictor / prior obstetric history,Yes,Partial,Combine with PRIORLIVE to estimate total prior live births,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,173-174,2,,
2018,LBO_REC,live_birth_order,Live birth order recode,1-7; 8=8+; 9 unknown,9,Candidate predictor,Yes,Partial,Current birth order = prior live births + 1 conceptually,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,179,1,,
2018,RF_PPTERM,previous_preterm_birth,Previous preterm birth,Y/N/U,U/blank,Candidate predictor,Yes,No,Medical history variable,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,318,1,,
2018,RF_CESAR,previous_cesarean,Previous cesarean,Y/N/U,U/blank,Core cohort,Yes,No,Use with number of previous cesareans,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,331,1,,
2018,RF_CESARN,n_previous_cesareans,Number of previous cesareans,00 none; 01-30 count; 99 unknown,99/blank,Core cohort,Yes,No,Primary cohort can restrict to exactly 1 prior cesarean,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,332-333,2,,
2018,M_Ht_In,maternal_height_in,Mother's height in total inches,30-78 inches,99/blank,Predictor / MFMU,Yes,Yes - convert inches to cm,Use raw continuous height,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,280-281,2,,
2018,BMI,prepregnancy_bmi,Body mass index,13.0-69.9,99.9/blank,Predictor / subgroup,Yes,No direct MFMU term,Derived from prepregnancy height/weight; useful subgroup,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,283-286,4,,
2018,BMI_R,prepregnancy_bmi_cat,BMI recode,1 underweight; 2 normal; 3 overweight; 4 obesity I; 5 obesity II; 6 obesity III; 9 unknown,9,Equity/clinical subgroup,Yes,No,Note guide typo in obesity-I range; use standard BMI cut points,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,287,1,,
2018,PWgt_R,prepregnancy_weight_lb,Pre-pregnancy weight recode,075-375 lb,999/blank,Predictor / MFMU,Yes,Yes - convert lb to kg,Published MFMU uses kg,CDC/NCHS Natality User Guide 2018,False,False,False,False,False,292-294,3,,
