Year,Variable_original,Variable_standardized,Description,Coding,Missing/Unknown,Role_in_project,Available_pre_decision,MFMU_component,Harmonisation_notes,Source_guide,Key_harmonisation_change,MHISPX_change,MRACEHISP_change,California_2019_Hispanic_reporting,MBRACE_change,Position,Length
2019,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,Not present in 2016-2017 public-use layout; definition changes noted for 2023,CDC/NCHS Natality User Guide 2019,True,True,False,False,False,112,1
2020,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor; bridged-race field MBRACE is no longer present from 2020, but MRACE6 remains.",CDC/NCHS Natality User Guide 2020,True,False,False,False,True,107,1-2 depending year formatting
2020,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2020,True,False,True,False,False,117,1
2020,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2020,True,True,False,False,False,115,1
2020,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,Not present in 2016-2017 public-use layout; definition changes noted for 2023,CDC/NCHS Natality User Guide 2020,True,True,False,False,False,112,1
2021,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor; bridged-race field MBRACE is no longer present from 2020, but MRACE6 remains.",CDC/NCHS Natality User Guide 2021,True,False,False,False,True,107,1-2 depending year formatting
2021,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2021,True,False,True,False,False,117,1
2021,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2021,True,True,False,False,False,115,1
2021,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,Not present in 2016-2017 public-use layout; definition changes noted for 2023,CDC/NCHS Natality User Guide 2021,True,True,False,False,False,112,1
2022,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor; bridged-race field MBRACE is no longer present from 2020, but MRACE6 remains.",CDC/NCHS Natality User Guide 2022,True,False,False,False,True,107,1-2 depending year formatting
2022,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2022,True,False,True,False,False,117,1
2022,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2022,True,True,False,False,False,115,1
2022,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,Not present in 2016-2017 public-use layout; definition changes noted for 2023,CDC/NCHS Natality User Guide 2022,True,True,False,False,False,112,1
2023,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor; bridged-race field MBRACE is no longer present from 2020, but MRACE6 remains.",CDC/NCHS Natality User Guide 2023,True,False,False,False,True,107,1-2 depending year formatting
2023,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2023,True,False,True,False,False,117,1
2023,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2023,True,True,False,False,False,115,1
2023,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,"Not present in 2016-2017 public-use layout; definition changes noted for 2023; from 2023, 'Latin American' is moved from Central/South American to Other/unknown Hispanic.",CDC/NCHS Natality User Guide 2023,True,True,False,False,False,112,1
2024,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor; bridged-race field MBRACE is no longer present from 2020, but MRACE6 remains.",CDC/NCHS Natality User Guide 2024,True,False,False,False,True,107,1-2 depending year formatting
2024,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2024,True,False,True,False,False,117,1
2024,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2024,True,True,False,False,False,115,1
2024,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,"Not present in 2016-2017 public-use layout; definition changes noted for 2023; from 2023, 'Latin American' is moved from Central/South American to Other/unknown Hispanic.",CDC/NCHS Natality User Guide 2024,True,True,False,False,False,112,1
