feature_number,preprint_feature,preprint_domain,source_status,Natality_variable_original,Natality_variable_standardized,years_available_in_harmonisation,available_at_frozen_counselling_timepoint,used_in_race_neutral_model,used_in_race_inclusive_model,crosswalk_status,crosswalk_notes
21,Gestational age,Current pregnancy,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
22,Prenatal care utilization / visits,Prenatal care,Explicitly identifiable from published preprint text,PRECARE; PREVIS,prenatal_care_start_month; prenatal_visits,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text. Paper availability/timing should not be assumed equivalent to the late-third-trimester counselling timepoint used in the present study.
23,Prepregnancy / pregnancy weight gain,Current pregnancy,Explicitly identifiable from published preprint text,WTGAIN,pregnancy_weight_gain_lb,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text. Paper availability/timing should not be assumed equivalent to the late-third-trimester counselling timepoint used in the present study.
24,Insurance / payment source,Health system / socioeconomic,Explicitly identifiable from published preprint text,PAY_REC,payment_recode,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
25,Place / setting of delivery,Health system,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
26,Birth weight,Delivery-associated / not counselling-time,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
27,Infertility treatment,Clinical / obstetric,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
28,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
29,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
30,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
31,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
32,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
33,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
34,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
35,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
36,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
37,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
38,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
39,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
40,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
41,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
42,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
43,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
44,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
45,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
46,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
47,NOT INDIVIDUALLY ENUMERATED IN PREPRINT TEXT,,Unresolved: paper states 47 predictors but does not name all 47,,,,,,,Unresolved exact preprint feature,"Replace using author code, supplement, or exact source list. Do not infer this predictor."
